Date;Gold;Silver;Platinum;Palladium
29.04.2022 0:00:00;4383,25;54,94;2161,64;5239,08
28.04.2022 0:00:00;4462,53;55,69;2143,87;5121,86
27.04.2022 0:00:00;4429,83;54,97;2143,62;4944,12
26.04.2022 0:00:00;4579,36;57,42;2217,1;5672,46
23.04.2022 0:00:00;4593,43;58,24;2311,25;5747,4
22.04.2022 0:00:00;4700,9;60,76;2375,1;5799,11
21.04.2022 0:00:00;4867,2;64,22;2505,47;5843,61
20.04.2022 0:00:00;4988,28;65,18;2482,39;6049,72
19.04.2022 0:00:00;5015,06;65,53;2495,72;6082,19
16.04.2022 0:00:00;5052,35;66,02;2514,27;6127,41
15.04.2022 0:00:00;5166,17;67,01;2561,2;6235,73
14.04.2022 0:00:00;5033,78;64,19;2482,43;6032,78
13.04.2022 0:00:00;4996,12;64,13;2519,12;6387,4
12.04.2022 0:00:00;4940,94;62,67;2473,78;6214,98
09.04.2022 0:00:00;4650,29;58,67;2303,01;5433,84
08.04.2022 0:00:00;4732,04;59,49;2360,93;5491,68
07.04.2022 0:00:00;5162,48;65,53;2605,07;6091,78
06.04.2022 0:00:00;5172,87;66,1;2639,63;6155,56
05.04.2022 0:00:00;5185,42;66,36;2674,14;6243,25
02.04.2022 0:00:00;5185,8;66,23;2650,1;6102,2
01.04.2022 0:00:00;5159,82;66,55;2641,46;5910,43
31.03.2022 0:00:00;5184,57;66,92;2660,14;5839,34
30.03.2022 0:00:00;5301,45;68,35;2729,72;6216,76
29.03.2022 0:00:00;5805,91;75,04;2985,81;6800,17
26.03.2022 0:00:00;6017,86;77,86;3140,18;7658,23
25.03.2022 0:00:00;6008,83;77,24;3162,05;7920,57
24.03.2022 0:00:00;6408,41;83,2;3396,33;8507,4
23.03.2022 0:00:00;6455,72;83,77;3446,44;8515,72
22.03.2022 0:00:00;6478,95;84,93;3463,2;8518,33
19.03.2022 0:00:00;6460,03;84,69;3459,12;8592,65
18.03.2022 0:00:00;6541,42;84,05;3457,04;8292,18
17.03.2022 0:00:00;6665,65;85,58;3515,64;8667,51
16.03.2022 0:00:00;6913,1;90,95;3655,92;8695,36
15.03.2022 0:00:00;7265,07;95,02;3870,31;9462,81
12.03.2022 0:00:00;7475,21;97,39;4001,39;11103,3
11.03.2022 0:00:00;7731,42;101,3;4164,4;11366,94
10.03.2022 0:00:00;7610,16;97,49;4295,77;11196,62
06.03.2022 0:00:00;6617,8;85,56;3714,92;10086,77
05.03.2022 0:00:00;6612,7;86,1;3694,51;9494,83
04.03.2022 0:00:00;6953,99;90,1;3912,83;9880,88
03.03.2022 0:00:00;6393,4;81,79;3531,97;8800,05
02.03.2022 0:00:00;5664,73;71,82;3123,72;7565,96
01.03.2022 0:00:00;5725,1;72,82;3197,49;7492,89
26.02.2022 0:00:00;5136,31;68;2833,88;6634,78
25.02.2022 0:00:00;5501,19;67,37;3127,41;7322,44
23.02.2022 0:00:00;4899,6;61,37;2800,14;6151
22.02.2022 0:00:00;4678,19;58,67;2665,57;5824,76
19.02.2022 0:00:00;4596,23;57,45;2659,89;5641,31
18.02.2022 0:00:00;4594,7;57,23;2635,22;5645,5
17.02.2022 0:00:00;4472,36;56,16;2488,93;5484,34
16.02.2022 0:00:00;4542,75;58,01;2505,11;5593,04
15.02.2022 0:00:00;4568,94;56,37;2528,45;5682,25
12.02.2022 0:00:00;4402,86;56,31;2480,79;5402,77
11.02.2022 0:00:00;4401,98;55,86;2469,7;5501,57
10.02.2022 0:00:00;4396,44;54,98;2491,5;5406,27
09.02.2022 0:00:00;4408,79;55,35;2450,14;5420,81
08.02.2022 0:00:00;4406,86;54,76;2467,25;5469,8
05.02.2022 0:00:00;4436,74;54,67;2513,55;5723,96
04.02.2022 0:00:00;4445,08;56,14;2538,29;5823,27
03.02.2022 0:00:00;4431,2;56,26;2554,95;5842,69
02.02.2022 0:00:00;4479,74;55,78;2571,54;5914,3
01.02.2022 0:00:00;4459,89;56,04;2528,08;6022,57
29.01.2022 0:00:00;4478,88;57,97;2516,9;5694,29
28.01.2022 0:00:00;4608,11;60,56;2624,5;5995,24
27.01.2022 0:00:00;4683,3;60,06;2659,93;5695,49
26.01.2022 0:00:00;4641,26;60,85;2581,5;5496,75
25.01.2022 0:00:00;4572,35;60,49;2576,88;5233,36
22.01.2022 0:00:00;4522,62;59,73;2579,07;5113,76
21.01.2022 0:00:00;4513,92;58,43;2568,22;5025,85
20.01.2022 0:00:00;4491,8;56,63;2449,17;4678,39
19.01.2022 0:00:00;4444,09;56,48;2370,77;4609,02
18.01.2022 0:00:00;4449,57;56,47;2373,86;4620,58
15.01.2022 0:00:00;4438,92;56,62;2384,8;4586,91
14.01.2022 0:00:00;4369,08;54,53;2330,31;4526,36
13.01.2022 0:00:00;4352,31;54,13;2331,42;4583,78
12.01.2022 0:00:00;4343,34;54,03;2273,68;4607,52
11.01.2022 0:00:00;4349,29;53,72;2321,33;4681,3
31.12.2021 0:00:00;4297,62;54,54;2309,74;4724,57
30.12.2021 0:00:00;4253,66;53,67;2299,28;4653,01
29.12.2021 0:00:00;4220,34;53,56;2294,42;4465,97
28.12.2021 0:00:00;4205,24;53,36;2286,21;4449,99
25.12.2021 0:00:00;4202,69;53,69;2284,83;4447,3
24.12.2021 0:00:00;4258,43;53,44;2294,84;4436,38
23.12.2021 0:00:00;4246,37;53,96;2227,69;4341,5
22.12.2021 0:00:00;4262,24;52,91;2238,1;4295,83
21.12.2021 0:00:00;4293,32;54,09;2207,09;4115,61
18.12.2021 0:00:00;4284,8;52,57;2214,11;4193,54
17.12.2021 0:00:00;4222,51;51,58;2197,41;3926,49
16.12.2021 0:00:00;4201,2;52,64;2163,04;3817,98
15.12.2021 0:00:00;4210,1;52,49;2192,04;3984,87
14.12.2021 0:00:00;4211,67;51,68;2223,32;4161,05
11.12.2021 0:00:00;4193,17;52,65;2229,23;4226,54
10.12.2021 0:00:00;4220,04;53,06;2243,24;4363,43
09.12.2021 0:00:00;4249,31;53,26;2286,34;4377,99
08.12.2021 0:00:00;4242,07;53,25;2278,77;4440,74
07.12.2021 0:00:00;4218,93;52,94;2212,2;4215,97
04.12.2021 0:00:00;4204,75;53,1;2238,11;4284,18
03.12.2021 0:00:00;4228,3;54,43;2240,71;4140,91
02.12.2021 0:00:00;4249,61;54,38;2266,56;4150,2
01.12.2021 0:00:00;4328,35;55,95;2280,24;4220,96
30.11.2021 0:00:00;4327,24;56,97;2343,22;4305,54
27.11.2021 0:00:00;4398,15;57,57;2362,14;4403,5
26.11.2021 0:00:00;4294,8;56,35;2384,07;4489,91
25.11.2021 0:00:00;4282,04;56,94;2352,87;4488,16
24.11.2021 0:00:00;4324,17;59,4;2408,33;4686,74
23.11.2021 0:00:00;4347,74;58,53;2451,23;4864,67
20.11.2021 0:00:00;4354,45;58,41;2456,31;4959,4
19.11.2021 0:00:00;4342,8;58,45;2488,27;5020,89
18.11.2021 0:00:00;4351,2;59,16;2498,17;5043,17
17.11.2021 0:00:00;4367,41;58,81;2579,97;5080,63
16.11.2021 0:00:00;4330,74;57,99;2502,53;4851,7
13.11.2021 0:00:00;4271,28;57,67;2470,42;4686,87
12.11.2021 0:00:00;4255,85;55,34;2481,29;4692,48
11.11.2021 0:00:00;4147,92;55,4;2397,9;4563,97
10.11.2021 0:00:00;4181,37;55,65;2427,14;4806,15
09.11.2021 0:00:00;4173,18;54,68;2380,41;4659,83
04.11.2021 0:00:00;4095,36;54,85;2401,81;4622,04
03.11.2021 0:00:00;4117,01;54,84;2431,37;4688,08
02.11.2021 0:00:00;4083,12;54,87;2363,18;4520,67
30.10.2021 0:00:00;4072,7;54,44;2303,55;4532,27
29.10.2021 0:00:00;4077,04;54,59;2303,57;4489,24
28.10.2021 0:00:00;4003,77;53,77;2280,37;4455,24
27.10.2021 0:00:00;4029,35;54,37;2347,97;4548,36
26.10.2021 0:00:00;4056,97;54,96;2354,09;4581,91
23.10.2021 0:00:00;4083,35;55,38;2421,81;4590,72
22.10.2021 0:00:00;4074,76;55,3;2398,79;4719,99
21.10.2021 0:00:00;4062,16;54,72;2385;4788,28
20.10.2021 0:00:00;4059,97;54,14;2407,14;4748,12
19.10.2021 0:00:00;4032,86;53,13;2400,33;4661,09
16.10.2021 0:00:00;4080,1;53,23;2420,87;4901,29
15.10.2021 0:00:00;4147,69;53,87;2384,09;5031,28
14.10.2021 0:00:00;4083,3;52,87;2344,93;4807,69
13.10.2021 0:00:00;4065,28;52,32;2343,35;4897
12.10.2021 0:00:00;4036,46;51,87;2381,5;5007,14
09.10.2021 0:00:00;4067,69;52,19;2295,96;4619,69
08.10.2021 0:00:00;4086,92;52,73;2291,49;4420,3
07.10.2021 0:00:00;4078,88;52,02;2209,46;4418,93
06.10.2021 0:00:00;4101,65;52,46;2239,81;4474,95
05.10.2021 0:00:00;4107,31;52,31;2239,05;4454,66
02.10.2021 0:00:00;4115,97;51,8;2260,08;4435,75
01.10.2021 0:00:00;4043,86;50,29;2238,09;4413,09
30.09.2021 0:00:00;4074,26;52,23;2262,11;4444,69
29.09.2021 0:00:00;4055,46;51,75;2277,58;4536,5
28.09.2021 0:00:00;4086,21;52,69;2303,41;4618,5
25.09.2021 0:00:00;4119,8;53,19;2307,36;4689,83
24.09.2021 0:00:00;4140,97;53,17;2361,53;4832,95
23.09.2021 0:00:00;4159,94;53,27;2272,87;4562,14
22.09.2021 0:00:00;4157,6;53,09;2177,12;4486,05
21.09.2021 0:00:00;4142,76;52,8;2187,91;4689,39
18.09.2021 0:00:00;4120,07;53,68;2213,89;4770,7
17.09.2021 0:00:00;4148,59;54,66;2193,7;4732,06
16.09.2021 0:00:00;4219,32;55,83;2190;4609,54
15.09.2021 0:00:00;4181,7;55,17;2235,04;4811,41
14.09.2021 0:00:00;4200,92;55,41;2241,62;5023,67
11.09.2021 0:00:00;4210,48;56,2;2308,88;5183,86
10.09.2021 0:00:00;4221,14;56,77;2311,18;5301,84
09.09.2021 0:00:00;4245,35;57,41;2363,58;5565,39
08.09.2021 0:00:00;4260,95;57,05;2386,08;5638,12
07.09.2021 0:00:00;4277,87;57,95;2413,54;5690,23
04.09.2021 0:00:00;4244,41;56,34;2354,04;5659,06
03.09.2021 0:00:00;4251,36;56,6;2342,15;5724,22
02.09.2021 0:00:00;4268,38;56,29;2386,09;5833,46
01.09.2021 0:00:00;4274,39;56,65;2379,5;5852,16
31.08.2021 0:00:00;4254,3;55,85;2344,18;5726,8
28.08.2021 0:00:00;4271;56,16;2354,94;5756,51
27.08.2021 0:00:00;4243,41;56,32;2359,83;5725,91
26.08.2021 0:00:00;4255,03;56,32;2370,88;5770,73
25.08.2021 0:00:00;4286,39;56,49;2413,09;5796,18
24.08.2021 0:00:00;4255,14;55,79;2421,78;5524,6
21.08.2021 0:00:00;4262,78;55,48;2338,26;5525,27
20.08.2021 0:00:00;4263,04;55,64;2314,85;5669,12
19.08.2021 0:00:00;4223,31;55,91;2376,07;5930,73
18.08.2021 0:00:00;4238,06;56,46;2418,98;6108,87
17.08.2021 0:00:00;4190,07;55,55;2387,92;6165,65
14.08.2021 0:00:00;4151,89;55,24;2409,42;6155,84
13.08.2021 0:00:00;4152,17;55,38;2400,71;6225,3
12.08.2021 0:00:00;4123,87;55,68;2385,31;6271,24
11.08.2021 0:00:00;4092,41;55,34;2340,14;6154,41
10.08.2021 0:00:00;4115,74;56,34;2306,61;6191,92
07.08.2021 0:00:00;4230,86;58,72;2355,9;6240,07
06.08.2021 0:00:00;4260,67;59,87;2394,75;6259,75
05.08.2021 0:00:00;4241,34;60,07;2445,42;6203,64
04.08.2021 0:00:00;4239,95;59,65;2469,42;6274,29
03.08.2021 0:00:00;4243,23;59,64;2471,92;6253,75
31.07.2021 0:00:00;4299,07;59,94;2485,5;6226,68
30.07.2021 0:00:00;4281,39;59,89;2534,31;6226,37
29.07.2021 0:00:00;4258,18;58,68;2501,47;6174,4
28.07.2021 0:00:00;4266,86;59,63;2500,07;6227,63
27.07.2021 0:00:00;4307,56;60,43;2525,24;6367,9
24.07.2021 0:00:00;4276,19;59,68;2577,97;6415,29
23.07.2021 0:00:00;4258,64;59,4;2558,88;6314,27
22.07.2021 0:00:00;4325,24;60,13;2574,69;6378,04
21.07.2021 0:00:00;4347,53;60,1;2581,74;6226,84
20.07.2021 0:00:00;4310,29;60,53;2595,85;6264,94
17.07.2021 0:00:00;4344,52;62,25;2708,77;6466,7
16.07.2021 0:00:00;4371,55;62,53;2729,83;6700,5
15.07.2021 0:00:00;4320,73;62,37;2654,8;6729,95
